Name,Rating,Description
Four Barrel Coffee,4.0,"[""In love with the look and vibes here at Four Barrel. Big bar for you to order when you walk into the shop. There's a smaller station off to the side and..."", ""AMAZING COFFEE. But so so so freaking busy all the time, and really no way to stay there and enjoy your drink.\n\nThis place is huge - but it's so crowded..."", 'Great vibe. We love the decor and the environment created in this warehouse.\n\nCoffee was perfect, done with professionalism and in relatively little...']"
Réveille Coffee Co.,4.0,"[""Love the vibe in this cozy little space! It's chic and modern without feeling obnoxious. Very communal and vibrant. I've been here many times and have never..."", ""Folks, avoid this place unless you like being treated like you're transparent. I went for a quick cappuccino only since they're always out of food by early..."", ""Great coffee shop, very posh and upscale.\n\nAt nearly $6 for a latte, it's EXPENSIVE; however, my latte was silky smooth and made to perfection with love by...""]"
The Mill,4.0,"['Pizza is served after 6!!!!!!!!!\n\nFor those who traveled 300 plus miles like me to try their pizza, GO AFTER 6 pm!!!\n\nNow after trying the coffee. I was...', ""It's 2019 and this cafe is stuck in 1919 with no wifi.\nDrinks? Meh. \nGood music though."", 'I was looking for a place to study but this place does NOT have wifi which is wrong information from yelp.\n\nNice open space with totally natural light,...']"
Rise & Grind Coffee and Tea,4.5,"['A great place to sit and work.\nPlenty of outlets and table space. \n\nOh and the creme brulee latte kinda rocked my world.', '(Sorry, this review is a little late)\n\nThe first time I came here was with a close friend of mine. We both went through a hard time and one thing we mainly...', ""Coffee, tea & food selection: 5/5\nCustomer service: 5/5\nAir quality: EMERGENCY (I bet this was one time only lol You'll be fine.)\n\nFound this coffee shop on...""]"
Home,4.5,"['Visiting friends in SF, my husband was craving caffeine and sweets. My friend recommended Home for tasty latte creations on the sweeter side.\n\nI managed to...', 'This a great joint to try just for the cute coffee art.  They give double shots of espresso in the cup.  The latte are huge.  They customize your drinks and...', 'My favorite coffee shop in the city for the following reasons:\n1) AMAZING latte art \n2) DELICIOUS and UNIQUE specialty lattes (condensed milk latte,...']"
Native Twins Coffee,5.0,"[""This place to caters to all types of eaters. I've never seen so many toast options AND get to enjoy it in damn good gf sourdough. \n\nTheir matcha is perfect...."", '$6.50 for a turmeric matcha seems a bit steep but... I guess Lower Haight is coming up in the world. \n\nI had to put my headphones on because this place is...', ""It's not a far cry to say it's one of my favorite coffees in the city. Beans are great ( Temple ) & truth be told, I'm addicted to their butterscotch latte...""]"
Home,4.5,"['Another cafe that has been on my bookmark in like forever, and I finally had the time to check it out.\n\nWe came Tuesday morning around 10am hoping that it...', ""It's an alright spot if you're nearby. My dentist happens to be closeby. \n\nThis spot is definitely over hyped now. You will come if you have a habit of..."", 'So cute and such a fun place to study or chat with friends! I ordered the birthday cake latte, and my friend ordered the red velvet latte. Both were...']"
Snowbird Coffee,4.0,"['Incredible staff with a refined menu. \n\nThe staff are fun and engaging, and always greet me with a smile -- This coffee shop is officially my favorite to...', ""Cute little coffee shop I visited while being a tourist in NorCal. We were craving something warm on a rainy day and ordered a lavender tea. I'd never come..."", ""When you hang out on Yelp too much, you find Snowbird Coffee on Yelp because it's a newer, fun coffee shop and people try it and leave it on Yelp. I have...""]"
Andytown Coffee Roasters,4.5,"[""Personally, I am a huge fan of coffee. Andytown offers a unique twist to their drinks. There's something about espresso and Pellegrino that's soooo right!..."", ""DON'T get the breakfast sandwich. Go down a couple blocks and closer to the ocean for more bang for your breakfast-sandwich-seeking buck. \n\nHard, crunchy,..."", ""You know how a name sounds familiar and you're not sure why because it gets trapped in your subconscious with the name of your third grade home room teacher...""]"
Sightglass Coffee,4.0,"['Long over due review... and this is not even for the brick and mortar location... this is for their pop-up location at the ferry building Tuesday and NOW...', ""Goooood coffee, nice space. \nOnly thing is that it's pretty hot inside and although there's a lot of space, there's no WiFi/barely any outlets to use. \nI..."", 'TLDR: Go to Blue Bottle or Philz for better coffee, service, and pet-friendly staff. Most workers here treat their coffee better than their customers....']"
