Name,Description
Trouble Coffee,"Yeah yeah, they've got the toast you crave. Cinnamon sugar, or slathered in Nutella, it's all there to mitigate your toast cravings. They've also got some of the best coffee in the neighborhood. It's super tiny inside so don't expect to find a seat; instead, head to best parklet in town, composed of a huge twisted log. It's also a great place to seek refuge from the hours long wait for brunch at Outerlands next door."
Andytown Coffee Roasters,"This small Outer Sunset shop chooses and roasts their own beans (now at a new facility down the street) for the perfect cup of coffee. Known for their Snowy Plover, a cold drink composed of Pellegrino, espresso, and brown sugar syrup over ice, topped with homemade whipped cream, the cafe also offers housemade pastries and free wifi. Owners Lauren Crabbe and Michael McCrory named their shop for McCrory's native Andersontown in Belfast Ireland — hence the cafe's authentic soda breads — and they've expanded with another location at 3629 Taraval Street to serve their growing fanbase."
Garden House Cafe,"In the reaches of the Outer Richmond lies Garden House Cafe, a standard coffee shop with a lovely outside seating area, piano, free wifi, and shelves of books for patrons' perusal. Filled with regulars, it's also a great place to stop on the way to the beach or Legion of Honor for a quick bite. Choose from sandiches, salads, and light lunch fare. Warning: it's cash only."
Snowbird Coffee,"Opened by former filmmaker Eugene Kim, Snowbird offers pour overs and espresso drinks featuring their house-roasted beans. They also have a rotating selection of national roasters, like Wisconsin's Ruby Coffee. And they recently added their own line of bottled cold brew and cold-brew concentrate, for the hardcore caffeine-hounds out there."
Flywheel Coffee,"Haight-Ashbury's new school roaster and cafe Flywheel grew out of older-school SF cafe chain Martha and Bros. Coffee Co: Founder Aquiles Guerrero, born in Nicaragua, is a member of the family behind Martha and Bros., and worked at the '80s-founded coffee company until founding his own roaster. Guerrero has been been roasting since he was 18 years old, and he's still all about the perfect cup of coffee."
fifty/fifty,"Small and modern, fifty/fifty offers coffee from Ritual, tea lattes (like the lavender Early Gray), and boba tea. Free wifi is available as well. And on Saturdays, stop by for a Dynamo Donut, a special weekend treat."
Ritual Roasters Coffee,"Ritual now has six locations in SF, the latest location being the Castro, but it's most scenic might be a bright, new space in the Haight, overlooking Buena Vista park. It offers the same selection of batch brew, cold brew, pour-overs and espresso drinks as the other four locations, plus pastries from Firebrand Artisan Breads and quick breads from Batter Bakery."
The Mill,"A Four Barrel-fueled outpost that highlights the bounty of Josey Baker's excellent bread, this Divisadero coffee shop is a light-filled oasis. There's a roomy parklet outside, a large communal table inside, and several other seating arrangements to choose from. Order some thick toast slathered with jam or an array of other hearty toppings, an espresso, pour over, or tea, and a grab a loaf of bread for the road. Also: no wifi."
Wrecking Ball Coffee Roasters,"Partners Nick Cho and Trish Rothgeb are now offering their award-winning coffee in a full-service shop, after operating as a pop-up for several years. The originators of the term ""third-wave coffee,"" the shop does not disappoint, offering precise and technologically advanced pour-overs and espresso drinks. Marla Bakery provides the baked goods."
Lady Falcon Coffee Club,"Lady Falcon Club isn't a coffee shop, exactly. It's a roving 1948 GMC bread truck modified into the city's most beautiful mobile coffee operation, transforming its every destination into a picturesque cafe. Find it parked at Alamo Square, from 9:30 a.m. to 3 p.m. on Friday through Sunday, and serving mochas with homemade ganache and a signature coffee drink called the Pink Crush, made with dried coffee cherry skins (cascara) steeped with hibiscus. You can also find owner/roaster Buffy Maguire's beans for sale, where they stand out on retail shelves thanks to their pink-hued bags.k's hours at Alamo are from 9:30-3 Friday-Sunday"
Saint Frank,"A minimal interior leaves the focus on the coffee at this Russian Hill spot. A limited selection of food items gives way to well-made pour overs and espresso drinks, made with coffee sourced from independent producers."
Linea Caffe,"A cute 'n' tiny corner coffee shop in the Mission, Linea stands out due to its proprietary roast, Heath Ceramics cups, and pleasant outdoor seating. Stop by for a quick cup on the sidewalk, or take it to go on your way to BART."
George and Lennie,"From former Four Barrel barista and artist Brett Walker, George and Lennie is a bohemian Tenderloin hangout. Lime green walls are the start of your experience, which includes espresso served in an eclectic array of vessels, among other earthly delights. There is art (and artists) aplenty, so come with an open mind and a need for caffeine."
