Description,Rating
$6.50 for a turmeric matcha seems a bit steep but... I guess Lower Haight is coming up in the world. I had to put my headphones on because this place is teeny-tiny and the two gals working there were ranting back and forth about work drama. That's fine just not super professional. No biggie though. They have WiFi which is why I stopped in. The barstools are not very comfortable though - this is the kind of place that obviously wants their customers in and out.,3.0 star rating
"It's not a far cry to say it's one of my favorite coffees in the city. Beans are great ( Temple ) & truth be told, I'm addicted to their butterscotch latte - 1/2 sweet, with almond milk, and every time - they deliver with a smile. All of them, which is a f'in rarity these days. The coffee isn't the only thing that's warm here :) I just moved closer to the neighborhood and couldn't be happier to start my mornings/kick start my afternoons with one of their bevs. Plus, it's a locally owned by amazing women, and I can't not support them. Take my money guys, I'll be back for another tomorrow ;)",5.0 star rating
"This place is fantastic - for coffee, toast, and friendly baristas/owners! It is owned and operated by a lovely set of twin ladies. This hits home for me as my twin and I have always dreamed of opening up our own coffee shop :). I ordered the dirty turmeric chai and it was delicious! A perfectly balanced drink. They happily accommodated my request of 2% milk - it's rare these days to find that as places only carry skim and whole milk.We also order the Pesto Tomato Toast and holy moly it was superb. The pesto was so good! And they use the perfect bread for avo toast - nicely grilled. As a millennial, I approve! They also have gluten free bread to accommodate those with dietary restriction.This cute cafe had a constant flow of folks coming in and out and for good reason! I highly recommend coming her for your joe and toast :). Best of luck to these ladies!",5.0 star rating
"Stopped in on our way out of San Fran because it was close to our AirBnb. The coffee was GREAT. I got a latte with an extra shot made with oat milk and it was super good. My roommate got the cold brew and enjoyed it also.Honestly, the only thing keeping this from a 5 star review was the avocado toast. I got it to-go so didn't even look at it until we got in the car. I probably just misread the description, but it was a couple slices of avocado on a piece of bread... I know, that's literally ""avocado toast."" It's just not the normal mashed plus some extra seasoning/veggies/whatever that I'm used to. Like I said, coffee and everything else was great though!",4.0 star rating
Cute very friendly coffee shop on Divis. I got a cortado and it was very good. I've heard their food is also good. There is a small bench with a table on the sidewalk. Nice neighborhood spot. Very relaxed.,5.0 star rating
Just discovered this tiny place as I was walking down Divisadero. The pastry and the mocha were a bit too sweet for my taste but pretty good nonetheless,4.0 star rating
"I come here a couple of times a week before my morning walk, and it is a perfect way to start my day.  Very approachable team, superb coffee and espresso selection, although I always get the cold brew (sorry for taking so much of it!).  They have all the milks (oat, cream, almond, etc. etc.) if needed.  Also have pricey but DELICIOUS baked goods like donuts, bars, and natural pop-tarts etc.Not a ton of seating, have a good bar in the front and side to have a seat, but perfect community coffee shop for a cup to go.",5.0 star rating
"I really loved Native Twins! I just stopped in for a cold brew in the morning, and I enjoyed the whole experience! The flavor of the coffee was incredible, the service was quick and friendly, and I loved the ambiance. I will definitely be back next time I'm in San Francisco!",5.0 star rating
"The lattes at Native Twins are absolute perfection. I used to get the espresso latte, but I stopped drinking coffee/espresso several months back and switched to the matcha latte (also have tried the turmeric and chai latte). Whatever the latte, it's always delicious and the perfect temperature (I find that a lot of coffee shops steam their latte milk way too hot, which is a big no no). The matcha latte, specifically, is smooth, earthy, and not overly sweetened. I've had a lot of matcha lattes from other coffee shops in various places and I always find myself judging them against Native Twins' because it's my gold standard that remains unparalleled.  I could be biased because, beyond the drinks, the owners/baristas are wonderful: their service is warm and quick. The eponymous twins run a lovely coffee shop that epitomizes what a great local business is and makes me proud to live in the Nopa area.",5.0 star rating
"Okay so there are several coffee places to choose from on Divisadero in Lower Haight, but this one is definitely my favorite. First, the coffee shop is super cute, the walls covered with record albums. Second, the coffee is really good. It is a bit pricier than I might normally spend on coffee but its definitely of quality. The only downside to the place is that it's not very big so I wouldn't plan on hanging out there. They did have some outside seating on the sidewalk however.",5.0 star rating
