key_words,key_values
have toast,0.71
toast crave,0.71
cinnamon sugar,0.41
mitigate toast,0.41
nutella mitigate,0.41
slathered nutella,0.41
sugar slathered,0.41
toast cravings,0.41
best coffee,0.58
coffee neighborhood,0.58
have best,0.58
best parklet,0.26
composed huge,0.26
expect find,0.26
find seat,0.26
head best,0.26
huge twisted,0.26
inside not,0.26
instead head,0.26
not expect,0.26
parklet town,0.26
seat instead,0.26
super tiny,0.26
tiny inside,0.26
town composed,0.26
twisted log,0.26
brunch outerlands,0.32
great place,0.32
hours long,0.32
long wait,0.32
next door,0.32
outerlands next,0.32
place seek,0.32
refuge hours,0.32
seek refuge,0.32
wait brunch,0.32
beans new,0.32
new facility,0.32
outer sunset,0.32
own beans,0.32
perfect cup,0.32
roasts own,0.32
shop chooses,0.32
small outer,0.32
street perfect,0.32
sunset shop,0.32
brown sugar,0.29
cafe offers,0.29
known snowy,0.29
offers housemade,0.29
over ice,0.29
pastries free,0.29
pellegrino espresso,0.29
plover cold,0.29
snowy plover,0.29
sugar syrup,0.29
syrup over,0.29
topped homemade,0.29
andersontown belfast,0.24
another location,0.24
authentic soda,0.24
belfast ireland,0.24
breads have,0.24
cafes authentic,0.24
location taraval,0.24
mccrory named,0.24
mccrorys native,0.24
michael mccrory,0.24
named shop,0.24
native andersontown,0.24
owners lauren,0.24
serve growing,0.24
shop mccrorys,0.24
soda breads,0.24
street serve,0.24
taraval street,0.24
area piano,0.22
books patrons,0.22
cafe standard,0.22
coffee shop,0.22
free wifi,0.22
garden house,0.22
house cafe,0.22
lies garden,0.22
lovely outside,0.22
outer richmond,0.22
outside seating,0.22
patrons perusal,0.22
piano free,0.22
reaches outer,0.22
richmond lies,0.22
seating area,0.22
shelves books,0.22
shop lovely,0.22
standard coffee,0.22
wifi shelves,0.22
beach legion,0.32
filled regulars,0.32
great place,0.32
honor quick,0.32
legion honor,0.32
place stop,0.32
quick bite,0.32
regulars great,0.32
stop way,0.32
way beach,0.32
choose sandiches,0.45
light lunch,0.45
lunch fare,0.45
salads light,0.45
sandiches salads,0.45
cash only,0.71
warning cash,0.71
drinks featuring,0.28
espresso drinks,0.28
eugene kim,0.28
featuring houseroasted,0.28
filmmaker eugene,0.28
former filmmaker,0.28
houseroasted beans,0.28
kim snowbird,0.28
offers pour,0.28
opened former,0.28
overs espresso,0.28
pour overs,0.28
snowbird offers,0.28
have rotating,0.35
like wisconsins,0.35
national roasters,0.35
roasters like,0.35
rotating selection,0.35
ruby coffee,0.35
selection national,0.35
wisconsins ruby,0.35
added own,0.32
bottled cold,0.32
brew coldbrew,0.32
cold brew,0.32
coldbrew concentrate,0.32
concentrate hardcore,0.32
hardcore caffeinehounds,0.32
line bottled,0.32
own line,0.32
recently added,0.32
cafe chain,0.29
cafe flywheel,0.29
chain martha,0.29
flywheel grew,0.29
grew olderschool,0.29
haightashburys new,0.29
martha bros,0.23
new school,0.29
olderschool sf,0.29
roaster cafe,0.29
school roaster,0.29
sf cafe,0.29
aquiles guerrero,0.31
behind martha,0.31
born nicaragua,0.31
co founder,0.31
coffee co,0.31
family behind,0.31
founder aquiles,0.31
guerrero born,0.31
martha bros,0.24
member family,0.31
nicaragua member,0.31
coffee company,0.41
company founding,0.41
founding own,0.41
own roaster,0.41
sfounded coffee,0.41
worked sfounded,0.41
been been,0.3
been roasting,0.3
cup coffee,0.3
guerrero has,0.3
has been,0.3
old still,0.3
perfect cup,0.3
roasting since,0.3
since years,0.3
still perfect,0.3
years old,0.3
boba tea,0.28
coffee ritual,0.28
early gray,0.28
fiftyfifty offers,0.28
gray boba,0.28
lattes like,0.28
lavender early,0.28
like lavender,0.28
modern fiftyfifty,0.28
offers coffee,0.28
ritual tea,0.28
small modern,0.28
tea lattes,0.28
available well,0.58
free wifi,0.58
wifi available,0.58
donut special,0.41
dynamo donut,0.41
saturdays stop,0.41
special weekend,0.41
stop dynamo,0.41
weekend treat,0.41
be bright,0.22
being castro,0.22
bright new,0.22
buena vista,0.22
castro most,0.22
haight overlooking,0.22
has six,0.22
latest location,0.22
location being,0.22
locations sf,0.22
might be,0.22
most scenic,0.22
new space,0.22
overlooking buena,0.22
ritual has,0.22
scenic might,0.22
sf latest,0.22
six locations,0.22
space haight,0.22
vista park,0.22
artisan breads,0.23
batch brew,0.23
batter bakery,0.23
breads batter,0.23
breads quick,0.23
brew cold,0.23
brew pourovers,0.23
cold brew,0.23
drinks four,0.23
espresso drinks,0.23
firebrand artisan,0.23
four locations,0.23
locations plus,0.23
offers selection,0.23
pastries firebrand,0.23
plus pastries,0.23
pourovers espresso,0.23
quick breads,0.23
selection batch,0.23
bakers excellent,0.28
barrelfueled outpost,0.28
bounty josey,0.28
bread divisadero,0.28
coffee shop,0.28
divisadero coffee,0.28
excellent bread,0.28
four barrelfueled,0.28
highlights bounty,0.28
josey bakers,0.28
lightfilled oasis,0.28
outpost highlights,0.28
shop lightfilled,0.28
arrangements choose,0.32
communal table,0.32
inside several,0.32
large communal,0.32
outside large,0.32
parklet outside,0.32
roomy parklet,0.32
seating arrangements,0.32
several seating,0.32
table inside,0.32
array hearty,0.26
bread road,0.26
espresso pour,0.26
grab loaf,0.26
hearty toppings,0.26
jam array,0.26
loaf bread,0.26
order thick,0.26
over tea,0.26
pour over,0.26
slathered jam,0.26
tea grab,0.26
thick toast,0.26
toast slathered,0.26
toppings espresso,0.26
no wifi,1.0
awardwinning coffee,0.28
cho trish,0.28
coffee fullservice,0.28
fullservice shop,0.28
nick cho,0.28
offering awardwinning,0.28
operating popup,0.28
partners nick,0.28
popup several,0.28
rothgeb offering,0.28
several years,0.28
shop operating,0.28
trish rothgeb,0.28
advanced pourovers,0.27
coffee shop,0.27
disappoint offering,0.27
does not,0.27
espresso drinks,0.27
not disappoint,0.27
offering precise,0.27
originators term,0.27
pourovers espresso,0.27
precise technologically,0.27
shop does,0.27
technologically advanced,0.27
term thirdwave,0.27
thirdwave coffee,0.27
baked goods,0.5
bakery provides,0.5
marla bakery,0.5
provides baked,0.5
club not,0.5
lady falcon,0.5
not coffee,0.5
shop exactly,0.5
beautiful mobile,0.29
bread truck,0.29
citys most,0.29
into citys,0.29
into picturesque,0.29
mobile coffee,0.29
modified into,0.29
most beautiful,0.29
operation transforming,0.29
picturesque cafe,0.29
roving gmc,0.29
transforming every,0.29
alamo square,0.71
parked alamo,0.71
called pink,0.29
cascara steeped,0.29
cherry skins,0.29
coffee cherry,0.29
coffee drink,0.29
mochas homemade,0.29
pink crush,0.29
serving mochas,0.29
signature coffee,0.29
skins cascara,0.29
steeped hibiscus,0.29
sunday serving,0.29
beans sale,0.32
buffy maguires,0.32
maguires beans,0.32
ownerroaster buffy,0.32
pinkhued bags,0.32
retail shelves,0.32
sale where,0.32
shelves thanks,0.32
stand retail,0.32
thanks pinkhued,0.32
coffee russian,0.38
focus coffee,0.38
hill spot,0.38
interior leaves,0.38
leaves focus,0.38
minimal interior,0.38
russian hill,0.38
coffee sourced,0.27
drinks coffee,0.27
espresso drinks,0.27
food items,0.27
gives way,0.27
independent producers,0.27
items gives,0.27
limited selection,0.27
overs espresso,0.27
pour overs,0.27
selection food,0.27
sourced independent,0.27
way wellmade,0.27
wellmade pour,0.27
ceramics cups,0.25
coffee shop,0.25
corner coffee,0.25
cups pleasant,0.25
cute tiny,0.25
due proprietary,0.25
heath ceramics,0.25
linea stands,0.25
mission linea,0.25
outdoor seating,0.25
pleasant outdoor,0.25
proprietary roast,0.25
roast heath,0.25
shop mission,0.25
stands due,0.25
tiny corner,0.25
cup sidewalk,0.38
go way,0.38
quick cup,0.38
sidewalk take,0.38
stop quick,0.38
take go,0.38
way bart,0.38
artist brett,0.3
barista artist,0.3
barrel barista,0.3
bohemian tenderloin,0.3
brett walker,0.3
former four,0.3
four barrel,0.3
george lennie,0.3
lennie bohemian,0.3
tenderloin hangout,0.3
walker george,0.3
among earthly,0.28
array vessels,0.28
earthly delights,0.28
eclectic array,0.28
espresso served,0.28
experience includes,0.28
green walls,0.28
includes espresso,0.28
lime green,0.28
served eclectic,0.28
start experience,0.28
vessels among,0.28
walls start,0.28
aplenty come,0.38
art artists,0.38
artists aplenty,0.38
come open,0.38
mind need,0.38
need caffeine,0.38
open mind,0.38
beer wine,0.27
coffee cultures,0.27
coffee soft,0.27
counter culture,0.27
culture coffee,0.27
