Names,Wifi,Review,Blog
Beacon Coffee & Pantry,Yes,"If you live in North Beach, Beacon is your best bet. It has adequate seating, good wifi (you’ll just need to buy something every once in a while), and a fair number of plugs. The food is good, too - provided you want something light like a bagel or some yogurt with granola. You can choose to sit at the bar facing the large window, or snag a table away from the distractions of the outdoors, if you can’t bear to watch the adventures of people who don’t currently have to work.",B
Contraband Coffeebar,Yes,"The baristas at Contraband take their coffee seriously - we’ve heard some intense coffee bean discussion going on in here, which is something to keep in mind if you like procrastination. There aren’t a ton of outlets, so get there early if you want to be sure you can get one. They have small food items like scones, and there are a few tables outside on the sidewalk for when the weather’s nice.",B
The Station SF,Yes,"An almost perfect FiDi coffee shop for getting business-related things (or even just some online shopping) done. They have strong coffee, comfortable chairs, and rock-solid wifi. If you don’t have time to wait in an eight-second line, there’s even a refrigerated case and self-checkout system near the entrance with small things to eat and drink. If you can spare the wait time, though, there’s a full breakfast and lunch menu. The only real drawback to The Station is the lack of outlets inside - most likely to dissuade people like you from camping out for too long.",B
Mazarine Coffee,No,"There’s no shame in loving a beautiful avocado toast. OK, there’s some shame. But Mazarine has some of the prettiest ones around, as well as nice-looking lattes, and both things actually taste good, too. Also actually-important is the fact that this FiDi spot has an almost ridiculous number of outlets. Just bring your internet with you, or do something you don’t need any internet for, if you can think of anything.",B
Verve Coffee Roasters,Yes,"Verve has almost everything you need for a full day of work. You’ll find a bunch of comfy couches, group tables with lots of laptop space to exploit the wifi, and some of the best coffee around. Just know that there is only one plug here, so make sure you’re charged up beforehand. They have the requisite avocado toast, plus sandwiches - and, most importantly, biscuits. Bad for laptop keyboard cleanliness, but that’s why they invented those sanitary wipe things.",B
Ritual Coffee Roasters,No,"For the purists out there, this is a coffee shop focused on the coffee. With no wifi and a menu consisting only of pastries, Ritual is where you go when you really need to focus and can’t be distracted by the latest Everlane email in your inbox. The nitro coffee is fantastic, and if you need sustenance, the croissants are quite good.",B
Philz Coffee,Yes,"Philz is now a VC-backed operation, and we would not be surprised if the reason for that was their Mint Mojito Iced Coffee, a.k.a. dessert masquerading as an acceptable adult drink. Grab one and get to work at the Philz Castro location: low-key, spacious, and with great people-watching on Castro Street when you need a break.",B
Mercury Cafe,Yes,"Mercury Cafe is bright, airy, and unpretentious - exactly what you want in a neighborhood coffee shop. Come first thing in the morning to try their freshly-baked scones (they will sell out), or stop by in the afternoon and order a slice of their homemade pies (go for the apple). Mercury is one of the more relaxing places to work, and the numerous outlets are key. Nothing like the impending stress of 8% battery to cramp your productivity.",B
Jane on Fillmore,Yes,"With its retro tabletops and killer music selection, Jane on Fillmore is the It Girl of coffee shops: cool without trying too hard. If you can get a table, try their Stumptown coffee and egg white sandwiches. They also have some pretty incredible pastries in rotation (and gluten-free things if that’s your game), not to mention huge and delicious salads. Add a good number of outlets and free wifi, and it's obvious why this is one of our go-tos. The Larkin location has the same menu, but there’s no wifi there.",B
Saint Frank,Yes,"Clean and modern, this well-designed Russian Hill coffee shop is chill enough to make you feel like you’re in a sci-fi utopia. And the almond macadamia latte is made with house-made almond milk, because of course it is.",B
