key_words,key_values,category,section
have toast,0.71,None,None
toast crave,0.71,food,baked
cinnamon sugar,0.41,coffee,None
mitigate toast,0.41,None,None
nutella mitigate,0.41,None,None
slathered nutella,0.41,food,None
sugar slathered,0.41,food,None
toast cravings,0.41,food,baked
best coffee,0.58,coffee,sentiment
coffee neighborhood,0.58,place,None
have best,0.58,None,None
best parklet,0.26,place,sentiment
composed huge,0.26,place,None
expect find,0.26,None,None
find seat,0.26,place,stay
head best,0.26,None,None
huge twisted,0.26,None,None
inside not,0.26,place,go
instead head,0.26,None,None
not expect,0.26,None,None
parklet town,0.26,place,out
seat instead,0.26,place,stay
super tiny,0.26,place,size
tiny inside,0.26,place,size
town composed,0.26,place,None
twisted log,0.26,None,None
brunch outerlands,0.32,None,None
great place,0.32,place,sentiment
hours long,0.32,None,None
long wait,0.32,None,None
next door,0.32,None,None
outerlands next,0.32,None,None
place seek,0.32,place,None
refuge hours,0.32,place,stay
seek refuge,0.32,place,stay
wait brunch,0.32,food,brunch
beans new,0.32,coffee,beans
new facility,0.32,None,None
outer sunset,0.32,place,out
own beans,0.32,coffee,beans
perfect cup,0.32,coffee,sentiment
roasts own,0.32,coffee,roast
shop chooses,0.32,None,None
small outer,0.32,place,out
street perfect,0.32,None,None
sunset shop,0.32,place,out
brown sugar,0.29,coffee,None
cafe offers,0.29,coffee,drinks
known snowy,0.29,coffee,drinks
offers housemade,0.29,None,None
over ice,0.29,coffee,drinks
pastries free,0.29,food,baked
pellegrino espresso,0.29,coffee,drinks
plover cold,0.29,coffee,drinks
snowy plover,0.29,coffee,drinks
sugar syrup,0.29,coffee,None
syrup over,0.29,None,None
topped homemade,0.29,coffee,None
andersontown belfast,0.24,None,None
another location,0.24,None,None
authentic soda,0.24,coffee,drinks
belfast ireland,0.24,None,None
breads have,0.24,food,baked
cafes authentic,0.24,coffee,sentiment
location taraval,0.24,None,None
mccrory named,0.24,None,None
mccrorys native,0.24,None,None
michael mccrory,0.24,None,None
named shop,0.24,None,None
native andersontown,0.24,None,None
owners lauren,0.24,None,None
serve growing,0.24,None,None
shop mccrorys,0.24,None,None
soda breads,0.24,None,None
street serve,0.24,place,go
taraval street,0.24,None,None
area piano,0.22,place,deco
books patrons,0.22,place,deco
cafe standard,0.22,coffee,sentiment
coffee shop,0.22,coffee,None
free wifi,0.22,place,wifi
garden house,0.22,place,out
house cafe,0.22,place,stay
lies garden,0.22,place,stay
lovely outside,0.22,place,out
outer richmond,0.22,None,None
outside seating,0.22,place,go
patrons perusal,0.22,None,None
piano free,0.22,place,deco
reaches outer,0.22,None,None
richmond lies,0.22,None,None
seating area,0.22,place,stay
shelves books,0.22,place,deco
shop lovely,0.22,place,sentiment
standard coffee,0.22,coffee,sentiment
wifi shelves,0.22,place,wifi
beach legion,0.32,place,out
filled regulars,0.32,coffee,sentiment
great place,0.32,place,sentiment
honor quick,0.32,None,None
legion honor,0.32,None,None
place stop,0.32,place,go
quick bite,0.32,None,None
regulars great,0.32,coffee,sentiment
stop way,0.32,None,None
way beach,0.32,None,None
choose sandiches,0.45,food,breakfast
light lunch,0.45,food,lunch
lunch fare,0.45,food,lunch
salads light,0.45,food,lunch
sandiches salads,0.45,food,lunch
cash only,0.71,None,None
warning cash,0.71,None,None
drinks featuring,0.28,coffee,drinks
espresso drinks,0.28,coffee,drinks
eugene kim,0.28,None,None
featuring houseroasted,0.28,coffee,roast
filmmaker eugene,0.28,None,None
former filmmaker,0.28,None,None
houseroasted beans,0.28,coffee,beans
kim snowbird,0.28,None,None
offers pour,0.28,coffee,drinks
opened former,0.28,None,None
overs espresso,0.28,coffee,drinks
pour overs,0.28,coffee,drinks
snowbird offers,0.28,coffee,drinks
have rotating,0.35,None,None
like wisconsins,0.35,None,None
national roasters,0.35,coffee,roast
roasters like,0.35,None,None
rotating selection,0.35,coffee,None
ruby coffee,0.35,None,None
selection national,0.35,None,None
wisconsins ruby,0.35,None,None
added own,0.32,None,None
bottled cold,0.32,coffee,drinks
brew coldbrew,0.32,coffee,drinks
cold brew,0.32,coffee,drinks
coldbrew concentrate,0.32,coffee,drinks
concentrate hardcore,0.32,coffee,sentiment
hardcore caffeinehounds,0.32,coffee,sentiment
line bottled,0.32,None,None
own line,0.32,None,None
