Coffee,Description,scores,valid_date,polarity_textblob,subjectivity_textblob,neg_nltk,neu_nltk,pos_nltk,compound_nltk,value_flair,score_flair,flesch,kincaid_grade,coleman_liau_index,ari,dale_chall_readability,difficult_words,text_standard,flesch_corrected,kincaid_grade_corrected,ari_corrected,dale_chall_readability_corrected,len_review
Réveille Coffee,"This is a cute coffee shop, I love the ambiance, the coffee and service are great. The only downside to coming to this cafe is that they only have one outlet making it hard to charge devices while working, the one outlet they do have is VERY loose (meaning your charger will fall out of it). Other than that, nice and friendly environment. Remember, no wifi on the weekends. Enjoy!",4.0,2019-05-10,0.44166666666666665,0.6924242424242424,0.22999999999999998,0.661,0.526,0.9308,POSITIVE,0.9985462427139282,79.09,6.6,7.31,8.3,6.53,9,6th and 7th grade,79.09,6.6,8.3,6.53,381
Réveille Coffee,"I wanted to like this place, however the ventilation is so poor in this Cafe and the smell of bleach permeated the coffee shop. Not only that, I saw cleaning supplies left carelessly outside the bathroom which I thought was very sloppy. Though the furniture is nice and the food is okay, this major detail of bleach was so bad. My coffee tasted of bleach because of the smell. By the end of my time drinking coffee here, my eyes were burning. I wish I were not exaggerating because I really wanted to like this place in the Castro, but I think the management needs to rethink the way they do hygiene at the coffee shop. I think that once they fix this problem, this coffee shop has lots of potential of being the ideal coffee shop in the Castro.",2.0,2019-04-20,0.04604166666666669,0.6243055555555556,0.14075000000000001,0.826,0.158,0.1606,NEGATIVE,0.9999961853027344,68.1,8.7,7.31,9.0,6.66,18,8th and 9th grade,68.1,8.7,9.0,6.66,745
Réveille Coffee,"I didn't tried brunch before in another location, but it was too crowded. This Reveille is located in Castro street, and love them ambience here. Wish they have more seats. Coffee is great!",5.0,2019-04-18,0.5,0.6166666666666667,0.0,0.655,0.3395,0.9538,POSITIVE,0.9979339838027954,79.97,4.2,7.04,5.1,5.96,4,6th and 7th grade,79.97,4.2,5.1,5.96,189
Réveille Coffee,"Folks, avoid this place unless you like being treated like you're transparent. I went for a quick cappuccino only since they're always out of food by early afternoon. The girl behind the counter walked over and stared at me...no smile, no greeting, just stared. I said hello...again nothing but a stare. I then said good afternoon and her response was, ""I said hello already"" and then again just stared. Not, ""what can I get you sir?"" or ""can I take your order?"".  Then she proceeded to walk away.Whoever is the manager, seriously pay more than the likely minimum wage and get real help. There are at least six coffee places in a two block radius and only so many people willing to put up with idiots who don't realize that our patronage is what pays their wages.",1.0,2019-04-16,0.0736111111111111,0.6077777777777779,0.228,0.822,0.26225,0.6261,NEGATIVE,0.9999886751174927,68.5,8.6,7.89,9.9,6.11,13,7th and 8th grade,68.5,8.6,9.9,6.11,763
Réveille Coffee,"A nice compact coffee shop at Castro area. Quality of sandwich is great, coffee is average although. Good for short lunch/coffee break.",4.0,2019-04-16,0.425,0.61,0.0,0.647,0.359,0.8689,POSITIVE,0.9684799313545227,72.53,5.0,8.77,6.6,7.59,5,6th and 7th grade,72.53,5.0,6.6,7.59,135
Réveille Coffee,"Cool cafe, but no wifi on weekends (""owner turns it off""). Good outdoor and indoor seating options",4.0,2019-04-13,0.35,0.625,0.208,0.628,0.123,0.4019,POSITIVE,0.791281521320343,79.77,4.2,6.57,5.5,8.7,5,3rd and 4th grade,79.77,4.2,5.5,8.7,98
Réveille Coffee,"Cozy, friendly spot for coffee and food. Great little front patio area for sunny days, and good WiFi. Their food is simple but good - their shakshuka is great, and salads are big and tasty.",4.0,2019-04-09,0.40625,0.5452380952380952,0.0,0.609,0.4343333333333333,0.9517,POSITIVE,0.9954161643981934,85.39,4.2,6.77,5.7,5.59,3,5th and 6th grade,85.39,4.2,5.7,5.59,189
Réveille Coffee,"Cute spot for coffee, and a bite. Love the place for a weekend read with a simmering cup of coffee.",4.0,2019-03-17,0.5,0.8,0.0,0.676,0.3355,0.802,POSITIVE,0.9932258725166321,86.71,3.7,3.57,2.4,5.71,2,5th and 6th grade,86.71,3.7,2.4,5.71,99
Réveille Coffee,"I have been a Réveille customer since they opened their doors. This morning I went in to have breakfast. As I place my order at the register I was informed that I was 4 minutes late for the breakfast menu... REALLY? If they are that anal about timing...TAKE THE DAMNED MENU OFF THE COUNTER SO YOUR CLIENTELE IS NOT DISAPPOINTED and SHOW SOME FLEXIBILITY. What ? Do the eggs disappear when the clock strikes 10:30? Never to return. Le Marais is a much friendlier place. today, a few weeks later, I thought I'd give the place another shot. THE SERVICE STILL SUCKS. The guy, barista?, was so busy chatting and dancing around that it took him 15 minutes to prepare an americano. He then left it on the counter without announcing it and went over to the register to take care of someone else. Im really DONE NOW. (Should you need to know who he is ... he's the ""English major"" he announced that several times. His attitude sucks too.",1.0,2019-02-20,0.010714285714285723,0.2464285714285714,0.33825,0.848,0.257,-0.2492,NEGATIVE,0.9999951124191284,82.65,5.2,7.13,6.9,5.74,15,6th and 7th grade,82.65,5.2,6.9,5.74,928
Réveille Coffee,Really nice place with good vibe and pleasant white decor (very Apple-like). The food items I tried were very tasty.  I especially liked the breakfast egg/avocado sandwich.,5.0,2019-02-20,0.5488888888888889,0.5952380952380951,0.0,0.624,0.445,0.9127,POSITIVE,0.9874628186225891,66.23,7.4,12.0,10.8,5.48,2,7th and 8th grade,66.23,7.4,10.8,5.48,172
