,id review,coffee,rating,date,beans,roast,drinks,barista,coffee_sentiment,go,do,out,ambient,price,place_sentiment,baked,lunch,breakfast,snacks,food_sentiment,sentence_normalized,sum
0,0,Réveille Coffee,1.0 star rating,4/16/2019,0.0,0.0,0.026689213748845517,0.013171584244345806,0.0,0.02821164139665747,0.10751682985805454,0.021387010800697152,0.050877575074636305,0.028747978728803452,0.24063224962571106,0.051899929610768204,0.027581615808723165,0.046317893713883854,0.0,0.0,"Folks, avoid this place unless you like being treated like you're transparent",0.6430335226111266
1,0,Réveille Coffee,1.0 star rating,4/16/2019,0.0,0.021166687833365082,0.0295060359848384,0.029123468555367932,0.0,0.0,0.0,0.02364423007106362,0.022498910235427567,0.0,0.0,0.0191258436849749,0.07623155895772471,0.02560317908808562,0.0,0.09703708495659699, I went for a quick cappuccino only since they're always out of food by early afternoon,0.3439369993674448
2,0,Réveille Coffee,1.0 star rating,4/16/2019,0.0,0.0,0.03613736624752652,0.0,0.0,0.02546582868491811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015678681139726626,0.0,0.0, The girl behind the counter walked over and stared at me,0.07728187607217125
6,0,Réveille Coffee,1.0 star rating,4/16/2019,0.0,0.0,0.03129587719622029,0.03089010316076077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, I said hello,0.06218598035698106
9,0,Réveille Coffee,1.0 star rating,4/16/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056433264798310026,0.0,0.0,0.0,0.0,0.0,again nothing but a stare,0.056433264798310026
10,0,Réveille Coffee,1.0 star rating,4/16/2019,0.0,0.0,0.03498985441311705,0.055257896399553766,0.06523280730534421,0.009862873039405896,0.050117601103258816,0.011215443081840885,0.010672170182343944,0.030151134457776365,0.08833203139688704,0.027216552697590872,0.014463921353509292,0.0,0.0,0.14729193886373176," I then said good afternoon and her response was, ""I said hello already"" and then again just stared",0.5448042242943598
11,0,Réveille Coffee,1.0 star rating,4/16/2019,0.03086066999241838,0.0,0.009896625331298044,0.039073233258228174,0.04612656040144425,0.06974104408145883,0.017719247798458352,0.0,0.01509272781182455,0.0,0.05353729576861872,0.012830005981991684,0.0,0.0,0.09999999999999999,0.0," Not, ""what can I get you sir?"" or ""can I take your order?""",0.394877410425741
12,0,Réveille Coffee,1.0 star rating,4/16/2019,0.0,0.0,0.0,0.0,0.0,0.018007060151640497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  Then she proceeded to walk away,0.018007060151640497
13,0,Réveille Coffee,1.0 star rating,4/16/2019,0.0,0.0,0.0,0.013814474099888441,0.0,0.019725746078811793,0.0,0.0,0.010672170182343944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Whoever is the manager, seriously pay more than the likely minimum wage and get real help",0.04421239036104418
14,0,Réveille Coffee,1.0 star rating,4/16/2019,0.03253000243161778,0.0,0.005215979532703382,0.010296701053586927,0.04862166383263152,0.07351351523187183,0.05603318146805259,0.016718995419183973,0.0556819619887239,0.02247332874877474,0.15989425026187845,0.01352401376555966,0.0,0.0,0.052704627669472995,0.0, There are at least six coffee places in a two block radius and only so many people willing to put up with idiots who don't realize that our patronage is what pays their wages,0.5472082214040578
16,1,Réveille Coffee,1.0 star rating,"2/20/2019
            





Updated review",0.028171808490950558,0.05184758473652127,0.0,0.03566881875032109,0.0,0.0,0.0,0.0,0.013777712461369824,0.0,0.016290880311276866,0.0,0.0,0.0,0.0,0.0,I have been a Réveille customer since they opened their doors,0.1457568047504396
